notation,prefLabel
DK00DKSTN,Stigsnaes
DK00DKSTG,Stigsnaesvaerkets Havn
DK00DKSTR,Struer Havn
DK00DKSNO,Stryno
DK00DKSBK,Stubbekobing Havn
DK00DKSSV,Studstrupvaerkets Havn
DK00DKSUE,Sundsore
DK00DKSVE,Svendborg
DK00DKTRS,Taars
DK00DKTED,Thisted
DK00DKTYB,Thyboron
DK00DKTNO,Tuno
DK00DKUNX,Masnedo Godningshavn (Uno-X Havn)
DK00DKVNG,Vang Havn
DK00DKVEJ,Vejle
DK00DKVEN,Veno Havn
DK00DKVES,"Vestero Havn, Laeso"
DK00DKVOR,Vordingborg Havn
DK00DK888,Denmark: other ports
DE01DEAMR,Amrun I.
DE03DEAND,Andernach
DE02DEANK,Anklam
DE01DEBMR,Baltrum I.
DE01DEBEI,Beidenfleth
DE01DEBEN,Bensersiel
DE03DEBER,Berlin
DE02DEBOF,Berndshof
DE01DEBMK,Borkum I.
DE01DEBKE,Brake
DE03DEBWE,Braunschweig
DE01DEBRE,Bremen
DE01DEBRV,Bremerhaven
DE01DEBRB,Brunsbuettel
DE01DEBUM,Buesum
DE01DEBUZ,Buetzfleth
DE02DEBSK,Burgstaaken/Fehmarn
DE01DECAR,Carolinensiel
DE03DECRL,Castrop-Rauxel
DE01DECUX,Cuxhaven
DE01DEDAG,Dagebuell
DE02DEDMN,Demmin
DE03DEDON,Dorsten
DE03DEDTM,Dortmund
DE03DEDUS,Duesseldorf
DE03DEDUI,Duisburg
DE02DEECK,Eckernfoerde
DE01DEEME,Emden
DE03DEESU,Emmelsum
DE02DEFLF,Flensburg
DE02DE117,Flensburger Foerde (Uebrige Haefen)
DE01DE017,Föhr I.
DE01DEFRI,Friedrichstadt
DE03DEGEK,Gelsenkirchen
DE01DE118,Gieselau canal and Eider (Other ports)
DE01DEGLU,Glueckstadt
DE02DEGRD,"Greifswald, Landkreis"
DE01DEHAM,Hamburg
DE03DEHAU,Hanau
DE01DEHRN,Haren/Ems
DE02DEHHF,Heiligenhafen
DE01DEHGL,Helgoland I.
DE01DEHOD,Hochdonn
DE01DEHRM,Hoernum/Sylt
DE01DEHHS,Hohenhorn
DE01DEHUS,Husum
DE01DEITZ,Itzehohe
DE01DEJUI,Juist
DE02DEKAP,Kappeln
DE02DEKEL,Kiel
DE03DECGN,Koeln
DE03DEKRE,Krefeld
DE01DELGO,"Langeroog, Insel"
DE02DELAU,Lauterbach
DE01DELEE,Leer
DE01DELIS,List/Sylt
DE01DELOH,Lohesch
DE02DELBC,Luebeck
DE03DELLF,Luelsdorf
DE03DELLS,Luelsdorf
DE03DEMUH,Muehlheim An Der Ruhr
DE01DENES,Nessmersiel
DE01DENHS,Neuharlingersiel
DE03DENSS,Neuss
DE02DENHO,Neustadt/Holstein
DE01DENOE,Norddeich
DE01DENHA,Nordenham
DE01DENRD,Norderney I.
DE01DENOR,Norstrand I.
DE01DEOLO,Oldenburg/Oldenburg
DE03DEORS,Orsoy
DE02DEORT,"Orth, Fehmarn"
DE01DEPAP,Papenburg
DE03DEPEI,Peine
DE01DEPEL,Pellworm I.
DE02DEPUT,Puttgarden
DE02DEREN,Rendsburg
DE03DERHB,Rheinberg-Ossenberg
DE02DERSK,Rostock
DE02DE055,Rügen (Eastern Stralsund line)
DE03DESAR,Salzgitter
DE02DESAS,Sassnitz
DE01DEHMO,"Schwarzenhütten, Hemmoor"
DE03DESDT,Schwedt
DE03DESNE,Sehnde
DE01DESPI,Spieckeroog I.
DE03DE061,Spyck
DE03DEPYK,Spyck
DE01DESTA,Stade
DE01DESTS,Stadersand
DE02DESTL,Stralsund
DE02DEUCK,Ückermünde
DE03DEUEL,Uelzen
DE01DEAGE,Wangerooge I.
DE01DEWED,Wedel-Schulau
DE03DEWES,Wesel
DE01DEWVN,Wilhelmshaven
DE01DEWIF,Wischhafen
DE02DEWIS,Wismar
DE02DEWOL,Wolgast
DE01DEWYK,Wyk/Foehr
DE01DE116,Other Ports on the Elbe
DE02DE115,Other ports on the Baltic coast
DE03DE888,Other - Germany Inland
DE09DE888,Germany: other ports (unspecified maritime coastal area)
EE00EEHLT,Heltermaa
EE00EEKUI,Kuivastu
EE00EEKND,Kunda
EE00EEMDR,Miiduranna
EE00EEPLN,Paldiski Põhjasadam
EE00EEPRN,Pärnu
EE00EEPAR,Patareisadam
EE00EERHK,Rohuküla
EE00EESLM,Sillamäe
EE00EETLL,Tallinn
EE00EEVEB,Vene-Balti
EE00EEVIR,Virtsu
EE00EE888,Estonia: other ports
IE00IEARK,Arklow
IE00IEBYT,Bantry Bay
IE00IECTB,Castletownbere (Castletown Bearhaven)
IE00IEORK,Cork
IE00IEDRO,Drogheda
IE00IEDUB,Dublin
IE00IEDLG,Dun Laoghaire
IE00IEDDK,Dundalk
IE00IEFOV,Foynes
IE00IEGWY,Galway
IE00IEGRN,Greenore
IE00IEKBS,Killybegs
IE00IEKLR,Kilrush
IE00IEKLN,Kinsale
IE00IELMK,Limerick
IE00IENRS,New Ross
IE00IEROS,Rosslare Harbour
IE00IESLI,Sligo
IE00IETRA,Tralee
IE00IEWAT,Waterford
IE00IEWIC,Wicklow
IE00IEYOU,Youghal
EL00GRAEG,Aegina (001)
EL00GRAEN,Aegio (002)
EL00GR876,Ag. Nikolaos Fokidas
EL00GRAGN,Agathonissi Dodekanissou
EL00GR702,Agathonisi Dodekanissou
EL00GRAEF,Agia Efimia (003)
EL00GR701,Agia Galini Rethimnou
EL00GRAMR,Agia Marina Aiginas
EL00GR868,Agia Marina Aiginas
EL00GR883,Agia Marina Attikis
EL00GRGMA,Agia Marina Attikis
EL00GRAGM,Agia Marina Fthiot.
EL00GRAPE,Agia Pelagia (004)
EL00GRROU,Agia Roumeli Chanion
EL00GRAGT,Agii Theodori
EL00GRAGK,Agiokampos Larissas
EL00GRAGO,Agios Eystratios Lesvou
EL00GRAKI,Agios Kirikos (005)
EL00GRAKO,Agios Konstantinos (006)
EL00GRANI,Agios Nikolaos Creta
EL00GRAGG,Agistri Aiginas
EL00GRAGA,Agria Volou (709)
EL00GRAIG,Aigiali Amorgou
EL00GR880,Aktio Vonitsas
EL00GRAXD,Alexandroupolis
EL00GRLVR,Aliverio
EL00GR886,Almyropotamos Evoias
EL00GRALM,Almyros Volou (897)
EL00GRALO,Alonissos
EL00GRATS,Altsi (864)
EL00GRAPL,Amaliapolis Magnissias
EL00GRAMF,Amfilochia
EL00GRAMI,Amoliani (011)
EL00GRAMO,Amorgos
EL00GRANA,Anafi Kyklades
EL00GRAND,Andros
EL00GRATK,Antikyra
EL00GRANP,Antiparos (014)
EL00GRANT,Antirio (015)
EL00GRARX,Araxos
EL00GR870,Araxos
EL00GREFL,Argostolion
EL00GRARD,Arkii Dodekanissou
EL00GR717,Arkii Dodekanisou
EL00GRARK,Arkitsa Fthiotidas
EL00GRAPY,Aspropyrgos
EL00GRAST,Astakos
EL00GRARS,Astros Arkadias
EL00GR719,Astros Arkadias
EL00GRJTY,Astypalea
EL00GR720,Atalanti Fthiotidas
EL00GRVSS,Bassiliki Leykados
EL00GR723,Bolissos Chios
EL00GRCHQ,Canea
EL00GRHAL,Chalki Dodekanissou
EL00GRCLK,Chalkida
EL00GRJKH,Chios
EL00GRCSF,Chora Sfakion (017)
EL00GRCFU,Corfu
EL00GRCRG,Corinth
EL00GRDAF,Dafni Agiou Orous
EL00GR730,Derveni Korinthias
EL00GRDIA,Diafani Karpathou
EL00GRDIK,Diakofti Kythiron
EL00GRDMB,Dombraina Boiotias
EL00GR900,Dombraina Boiotias
EL00GRDON,Donousa Kyklades
EL00GRDPA,Drapetsona
EL00GRDRE,Drepano Riou
EL00GREDI,Edipsos (018)
EL00GRELN,Elafonissos Lakonias
EL00GRELT,Eleftheres (020)
EL00GREEU,Eleusis
EL00GR867,Ereikouses
EL00GRERE,Eretria Evoias
EL00GRERM,Ermioni (021)
EL00GREYD,Eydilos (022)
EL00GRFNR,Faneromeni Salaminas
EL00GRFIS,Fiskardo Kefallinias
EL00GRFOL,Folegandros Kyklades
EL00GRFOU,Fourni Samou
EL00GRFRI,Frikes Ithakis
EL00GRGAL,Galatas Trizinias
EL00GRGAV,Gavrion
EL00GR849,Gaydow Chania
EL00GR857,Gerakas
EL00GRGLO,Glossa (026)
EL00GRGLY,Glyfa Fthiotidas
EL00GRGYT,Gythion
EL00GRHER,Heraklion
EL00GRHYD,Hydra (Idhra)
EL00GR741,Ierissos Chalikidikis
EL00GRIGO,Igoumenitsa
EL00GRINO,Inousses (028)
EL00GRIOS,Ios (029)
EL00GRHRK,Iraklia Kyklades
EL00GRITM,Isthmia
EL00GRITA,Itea
EL00GRITH,Ithaki
EL00GRKLX,Kalamata
EL00GRKLD,Kalathos Rodou
EL00GRKLI,Kali Limenes
EL00GR743,Kalloni Lesvou
EL00GRKMI,Kalymnos Island
EL00GR745,Kamiro Rodou
EL00GRKAP,Kapsalio (032)
EL00GRKAR,Karlovassi
EL00GRAOK,Karpathos
EL00GRKST,Karystos
EL00GRKSJ,Kassos
EL00GRKIS,Kastelli Kissamou (035)
EL00GRKAK,Katakolo (036)
EL00GRKVA,Kavala
EL00GRKEA,Kea Island
EL00GRKEF,Kefalos Kos
EL00GRKER,Keramoti
EL00GRKTS,Keratsini (865)
EL00GRKIO,Kiato (042)
EL00GRKMS,Kimolos
EL00GR754,Koilas Ermionidos Argolidos
EL00GRKIN,Koilas Ermionidos Argolidos
EL00GR755,Korthion Androu
EL00GRKGS,Kos
EL00GRKEM,Kosta Ermionidos
EL00GR881,Kosta Ermionidos
EL00GRKOF,Koufonissi Kyklades
EL00GRKYL,Kylini
EL00GRKYM,Kymassio
EL00GRKIM,Kymi
EL00GRKYT,Kythnos
EL00GR862,Lagos
EL00GRLRY,Larymna
EL00GRLAV,Lavrion
EL00GRLEF,Lefkandi
EL00GRLFK,Lefkimi (049)
EL00GRLND,Leonidion (050)
EL00GRLRS,Leros Island
EL00GRLEV,Levkas
EL00GRLIN,Linoperamata Herakliou
EL00GRLIP,Lipsi Dodekanissou
EL00GRLIX,Lixouri
EL00GRLTR,Loutro Chania
EL00GRZEA,Marina Zeas
EL00GRMRM,Marmari (051)
EL00GRMGN,Meganissi (052)
EL00GRMGR,Megara
EL00GRKAS,Megisti Kastelorizou
EL00GRMEN,Menidion Etoloacarnan
EL00GRMEL,Mesolongion
EL00GRMES,Messogea (055)
EL00GRMHI,Mesta Hiou (056)
EL00GRMET,Methoni
EL00GRMLO,Milos Island
EL00GRMOL,Molyvos Lesvou
EL00GRMON,Monemvassia
EL00GRMDR,Moudros (060)
EL00GRJMK,Mykonos
EL00GRMYR,Myrina (061)
EL00GRMJT,Mytilene
EL00GRNAF,Nafplion
EL00GRJNX,Naxos
EL00GRNKV,Nea Karvali
EL00GRNMA,Nea Moudania
EL00GR795,nea Psara Chiou
EL00GRNST,Nea Styra (064)
EL00GRNEA,Neapolis
EL00GRNID,Nidrion (065)
EL00GRNIS,Nissyros
EL00GR909,North Evoikos
EL00GRORE,Orei (067)
EL00GRORO,Oropos
EL00GROTH,Othonoí
EL00GROUR,Ouranoupoli Chalkidikis
EL00GRPAA,Palaia Psara Chiou
EL00GRPEP,Palea Epidavros (069)
EL00GRPSF,Paleohora Sfakion (070)
EL00GRPAO,Paloukia Salaminas
EL00GRPAR,Parga Prevezas (809)
EL00GRPAS,Paros
EL00GRPMS,Patmos
EL00GRGPA,Patras
EL00GRPAX,Paxi (097)
EL00GRPER,Perama
EL00GRPGM,Perama Geras Mytilinis
EL00GRPSK,Pessada Kefallinias
EL00GR887,Pessada Kefallinias
EL00GRPET,Petra Lesvou
EL00GR813,Petriti Kerkyras
EL00GRPIR,Piraeus
EL00GRPIS,Pissaetos Ithakis
EL00GRPLG,Platygiali Etoloakarnanias
EL00GRPLM,Plomari Lesvou
EL00GRPLC,Polihnitos Lesvou
EL00GRPTK,Politika (074)
EL00GRPKE,Poros Kefallinias (075)
EL00GRPTR,Poros Trizinias (076)
EL00GRPHE,Porto Heli (077)
EL00GR854,Porto Karra Chalkidikis
EL00GRPTL,Porto Lagos
EL00GRPOA,Potamos Antikithera
EL00GRPVK,Preveza/Lefkas
EL00GR822,Prinos Kavalas
EL00GRPPI,Prinos Thassou
EL00GRPSA,Psachna (863)
EL00GRPYL,Pylos
EL00GRPYT,Pythagorio
EL00GRRAF,Rafina
EL00GRRET,Rethymnon
EL00GRRHO,Rhodes
EL00GRRIO,Rio (080)
EL00GRSMI,Sami
EL00GRSAM,Samothraki
EL00GRSHC,Schinoussa Kyklades
EL00GRSER,Seriphos Island
EL00GRSHI,Shinari Zakyntou
EL00GR892,Shinari Zakyntou
EL00GRSIF,Sifnos
EL00GRSGR,Sigri Lesvou
EL00GR835,Sikia Porto Rafti
EL00GRSII,Sikinow Kyklades
EL00GRJSH,Sitia
EL00GRSKA,Skaramangas
EL00GRJSI,Skiathos
EL00GRSKO,Skopelos
EL00GRSKU,Skyros Island
EL00GR832,Soubala Aiginas
EL00GRSUD,Souda Bay
EL00GRSOG,Sougia
EL00GRSLA,Souvala Aiginas
EL00GRSPE,Spetses (085)
EL00GRSHA,Stavros Halkidikis (086)
EL00GRSTI,Stratonio
EL00GRSYS,Stylida
EL00GRSYM,Symi (087)
EL00GRJSY,Syros (Syra)
EL00GRTSO,Thasos
EL00GRSKG,Thessaloniki
EL00GRJTR,Thira
EL00GRTRS,Thirassia (099)
EL00GRTIL,Tilos Dodekanissou
EL00GRTIN,Tinos
EL00GR839,Tolo Argolidas
EL00GR838,Trikeri Magnisias
EL00GRTRY,Trypiti Chalkidikis
EL00GRVTH,Vathy Samou
EL00GRVOL,Volos
EL00GRYER,Yerakini
EL00GRZTH,Zakynthos
EL00GR88P,Greek offshore installations
EL00GR88Q,Greek aggregates extraction areas
EL00GR888,Greece: other ports
ES02ESACA,Alcanar
ES02ESALG,Algeciras
ES02ESALC,Alicante
ES02ESLEI,Almeria
ES01ESAVS,Aviles
ES02ESBBE,Barbate
ES02ESBCN,Barcelona
ES01ESBIO,Bilbao
ES02ESCAD,Cadiz
ES02ESCAR,Cartagena
ES02ESCAS,Castellón
ES03ESCEU,Ceuta
ES01ESFRO,Ferrol
ES02ESGAR,Garrucha
ES01ESGIJ,Gijon
ES02ESHUV,Huelva
ES01ESLCG,La Coruña
ES02ESLPA,Las Palmas de Gran Canaria
ES02ESAGP,Málaga
ES01ESMPG,Marín-Pontevedra
ES04ESMLN,Melilla
ES02ESMOL,Molina de Segura
ES02ESMOT,Motril
ES02ESPAL,Palamós
ES02ESPMI,Palma de Mallorca
ES01ESPAS,Pasajes
ES02ESSCR,San Carlos de la Rápita
ES02ESSCT,Santa Cruz De Tenerife
ES01ESSDR,Santander
ES02ESSVQ,Sevilla
ES02ESTAR,Tarragona
ES02ESVLC,Valencia
ES01ESVGO,Vigo
ES01ESVIL,Villagarcía
ES09ES888,Spain: other ports (unspecified maritime coastal area)
FR02FRAJA,Ajaccio
FR02FRBIA,Bastia
FR01FRBAY,Bayonne
FR02FRBON,Bonifacio
FR01FRBOD,Bordeaux
FR01FRBOL,Boulogne-Sur-Mer
FR01FRBES,Brest
FR01FRCFR,Caen
FR01FRCQF,Calais
FR02FRCLY,Calvi
FR01FRCAM,Camaret
FR02FRCEQ,Cannes
FR01FRCRT,Carteret
FR01FRCER,Cherbourg
FR01FRCOC,Concarneau
FR03GFDDC,Degrad-des Cannes (French Guiana)
FR01FRDPE,Dieppe
FR01FRDRZ,Douarnenez
FR01FRDKK,Dunkerque
FR01FRFEC,Fecamp
FR04MQFDF,Fort-de France (Martinique)
FR01FRGFR,Granville
FR01FRGRV,Gravelines
FR04GP001,Guadeloupe (Guadeloupe)
FR01FRHET,Hennebont
FR01FRHON,Honfleur
FR03GFQKR,Kourou (French Guiana)
FR02FRLCT,La Ciotat
FR01FRLRH,La Rochelle
FR01FRLDN,Landerneau
FR01FRLAI,Lannion
FR03GFLVT,Larivot (French Guiana)
FR01FRLFR,Le Fret (Crozon)
FR01FRLGU,Le Guildo (Crehen)
FR01FRLEH,Le Havre
FR01FRLLG,Le Légué
FR01FRSBK,Le Legue (St Brieuc)
FR01FRLTR,Le Treport
FR01FRLSO,Les Sables D'Olonne
FR01FRLEZ,Lezardieux
FR02FRILR,L'Ile Rousse
FR01FRLRT,Lorient
FR02FRMRS,Marseille
FR01FRMXN,Morlaix
FR01FRMSG,Mortagne-Sur-Gironde
FR01FRNTE,Nantes Saint-Nazaire
FR02FRNCE,Nice-Villefranche
FR01FRPAI,Paimpol
FR01FRPOX,Pontrieux
FR05REPDG,Port Reunion (ex Pointe-des Galets) (Reunion)
FR02FRPOV,Port Vendres
FR01FRPRJ,Port-Joinville (Ile D'Yeu)
FR02FRNOU,Port-La-Nouvelle
FR02FRPVO,Porto Vecchio
FR02FRPRP,Propriano
FR01FRUIP,Quimper
FR01FRRDN,Redon
FR01FRRCO,Rochefort
FR01FRROS,Roscoff
FR01FRURO,Rouen
FR01FRRYN,Royan
FR02FRSET,Sete
FR03GFSLM,St Laurent du Maroni (French Guiana)
FR01FRSML,St Malo
FR02FRSRL,St Raphael
FR01FRSVS,St Valery-Sur-Somme
FR01FRTON,Tonnay Charente (Rochefort)
FR02FRTLN,Toulon
FR01FRTRE,Treguier
FR01FRVNE,Vannes
FR09FR888,France: other ports (unspecified maritime coastal area)
IT00ITAHO,Alghero
IT00ITALI,Alicudi
IT00ITAMA,Amalfi
IT00ITAOI,Ancona
IT00ITANZ,Anzio
IT00ITATX,Arbatax
IT00ITAUG,Augusta
IT00ITBLN,Bagnoli
IT00ITBAI,Baia
IT00ITBRI,Bari
IT00ITBLT,Barletta
IT00ITBDS,Brindisi
IT00ITCAG,Cagliari
IT00ITCLS,Calasetta
IT00ITCPA,Capraia
IT00ITPRJ,Capri
IT00ITCLF,Carloforte
IT00ITCML,Casamicciola
IT00ITCTR,Castellammare Del Golfo
IT00ITCAS,Castellammare Di Stabia
IT00ITCTA,Catania
IT00ITCVX,Cavo
IT00ITCHI,Chioggia
IT00ITCVV,Civitavecchia
IT00ITCRV,Crotone
IT00ITFAL,Falconara Marittima
IT00ITFAV,Favignana
IT00ITFPO,Filicudi Porto
IT00ITFCO,Fiumicino
IT00ITFOM,Formia
IT00ITGAE,Gaeta
IT00ITGAL,Gallipoli
IT00ITGEA,Gela
IT00ITGOA,Genova
IT00ITGII,Giannutri
IT00ITGIA,Giardini di Naxos
IT00ITGIT,Gioia Tauro
IT00ITGAI,Golfo Aranci
IT00ITGOR,Gorgona
IT00ITGRD,Grado
IT00ITIMP,Imperia
IT00ITIDG,Isola Del Giglio
IT00ITISS,Isola Santo Stefano
IT00ITMDA,La Maddalena
IT00ITSPE,La Spezia
IT00ITLMP,Lampedusa
IT00ITLEV,Levanzo
IT00ITLIC,Licata
IT00ITLIU,Linosa
IT00ITLIP,Lipari
IT00ITLIV,Livorno
IT00ITMFR,Manfredonia
IT00ITMMO,Marettimo
IT00ITMDC,Marina Di Carrara
IT00ITMRA,Marsala
IT00ITMAZ,Mazara Del Vallo
IT00ITMSN,Messina
IT00ITMLZ,Milazzo
IT00ITMOL,Molfetta
IT00ITMNF,Monfalcone
IT00ITMNP,Monopoli
IT00ITNAP,Napoli
IT00ITOLB,Olbia
IT00ITONE,Oneglia
IT00ITQOS,Oristano
IT00ITOTN,Ortona
IT00ITOTO,Otranto
IT00ITPAU,Palau
IT00ITPMO,Palermo
IT00ITPAN,Panarea
IT00ITPNL,Pantelleria
IT00ITPES,Pesaro
IT00ITPSR,Pescara
IT00ITPCH,Peschici
IT00ITPIA,Pianosa
IT00ITPIO,Piombino
IT00ITPFO,Porto Levante
IT00ITPNZ,Ponza
IT00ITPGL,Portiglioni
IT00ITPAZ,Porto Azzurro
IT00ITPCE,Porto Cervo
IT00ITPDI,Porto D'Ischia
IT00ITPEM,Porto Empedocle
IT00ITPFX,Porto Foxi
IT00ITPGA,Porto Garibaldi
IT00ITPLI,Porto Lignano
IT00ITPMZ,Porto Maurizio
IT00ITPNG,Porto Nogaro
IT00ITPSS,Porto Santo Stefano
IT00ITPTO,Porto Torres
IT00ITPFE,Portoferraio
IT00ITPTF,Portofino
IT00ITPVE,Portovesme
IT00ITPOS,Positano
IT00ITPZL,Pozzallo
IT00ITPOZ,Pozzuoli
IT00ITPRO,Procida
IT00ITRAN,Ravenna
IT00ITREG,Reggio Di Calabria
IT00ITRMI,Rimini
IT00ITRMA,Rio Marina
IT00ITRPT,Riposto
IT00ITRGG,Rodi Garganico
IT00ITSDB,S. Benedetto Del Tronto
IT00ITSAL,Salerno
IT00ITSLA,Salina
IT00ITSRE,Sanremo
IT00ITSML,Santa Margherita Ligure
IT00ITSPA,Santa Panagia
IT00ITSTE,Santa Teresa Di Gallura
IT00ITSAT,Sant'Antioco
IT00ITSVC,Santo Vito Lo Capo
IT00ITSVN,Savona
IT00ITSIR,Siracusa
IT00ITRRO,Sorrento
IT00ITSTR,Stromboli
IT00ITTAL,Talamone
IT00ITTAR,Taranto
IT00ITTRI,Termini Imerese
IT00ITTMI,Termoli
IT00ITTRC,Terracina
IT00ITTOA,Torre Annunziata
IT00ITTGR,Torregrande
IT00ITTVC,Torviscosa
IT00ITTNI,Trani
IT00ITTPS,Trapani
IT00ITTMT,Tremiti
IT00ITTRS,Trieste
IT00ITUST,Ustica
IT00ITVDA,Vada
IT00ITVSO,Vasto
IT00ITVCE,Venezia
IT00ITVTT,Ventotene
