indic_is,unit,hhtyp,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
H_BBMOB,PC_HH_IACC,ALL_NDCH,ES	84 	83 	75 	79 	76 	64 	46 	31 	12 	11 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,EU15	: 	58 	47 	47 	42 	39 	31 	26 	17 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,EU27_2007	: 	57 	48 	46 	40 	37 	30 	25 	16 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,EU27_2020	60 	58 	51 	49 	44 	39 	32 	26 	18 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,EU28	60 	57 	48 	46 	40 	37 	30 	25 	16 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,FI	93 	91 	93 	91 	87 	84 	74 	64 	51 	39 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,FR	41 	39 	39 	38 	33 	24 	21 	16 	10 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,HR	69 	64 	55 	47 	42 	36 	29 	13 	6 	8 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,HU	81 	75 	76 	54 	46 	38 	32 	25 	13 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,IE	48 	51 	48 	44 	35 	35 	12 	12 	14 	19 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,IS	49 	34 	36 	: 	: 	26 	57 	49 	41 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,IT	45 	50 	48 	46 	46 	43 	34 	24 	23 	17 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,LT	56 	53 	43 	39 	29 	28 	24 	23 	6 	7 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,LU	43 	41 b	28 	35 	27 	17 	1 	7 	8 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,LV	45 	38 	28 	28 b	16 	21 	15 	8 	19 	8 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,ME	52 	48 	45 	: 	: 	: 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,MK	69 	68 	50 	37 	25 	13 	9 	8 	: 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,MT	55 	54 	53 	59 	55 	48 	24 	17 	8 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,NL	51 	49 	46 	41 	36 	: u	25 	19 	8 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,NO	68 	60 	55 	66 	65 	54 	54 	46 	30 	20 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,PL	61 	51 	46 	43 	36 	31 	28 	27 	17 	16 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,PT	52 	43 	56 	53 	46 	28 	46 	41 	44 	33 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,RO	62 	57 	48 	43 	29 	27 b	12 	8 	5 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,RS	69 	62 	52 	: 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,SE	66 b	74 	64 	62 b	46 	46 	: u	61 	42 	31 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,SI	95 	95 	86 	66 	64 	44 	37 	39 	29 	27 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,SK	53 	52 	41 	48 	39 	32 	27 	24 	19 	19 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,TR	: 	: 	: 	: 	: 	: 	41 	30 	: 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,UK	64 	51 	26 	30 	20 	25 	17 	15 	8 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,ALL_NDCH,XK	44 	25 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,AL	: 	85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,AT	75 	68 	75 	67 	63 	59 	56 	47 	40 	29 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,BA	30 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,BE	44 	50 u	39 	35 	26 	27 	20 	14 	11 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,BG	88 	84 	75 	57 	41 	27 	9 	7 	4 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,CH	87 	: 	85 b	: 	: 	69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,CY	0 n	0 n	1 	3 	1 	0 n	10 	18 	12 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,CZ	31 	27 	25 	25 	12 	11 	8 	4 	5 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,DE	77 	80 	60 	61 	59 	62 	56 	45 	25 	23 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,DK	49 b	58 	37 	37 	31 	33 	16 	17 	13 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EA	59 	60 	54 	54 	50 	47 	39 	28 	19 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EE	91 	86 	86 	82 	54 	61 b	27 	17 	5 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EL	43 	26 	17 	16 	13 	13 	7 	8 	3 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,ES	84 	84 	77 	81 	80 	67 	51 	32 	11 	10 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EU15	: 	59 	49 	50 	46 	44 	37 	27 	17 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EU27_2007	: 	58 	50 	50 	44 	41 	33 	25 	16 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EU27_2020	61 	59 	54 	52 	47 	43 	35 	26 	17 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,EU28	62 	58 	51 	50 	44 	41 	33 	25 	16 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,FI	98 	92 	95 	96 	94 	96 	84 	68 	51 	32 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,FR	43 	41 	45 	44 	38 	30 	22 	17 	13 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,HR	69 	66 	56 	46 	43 	36 	34 	14 	5 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,HU	91 	83 	86 	61 	53 	44 	38 	27 	13 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,IE	47 	54 	49 	43 	35 	34 	11 	10 	13 	17 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,IS	59 	39 	44 	: 	: 	30 	79 	55 	50 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,IT	38 	44 	42 	41 	41 	40 	30 	18 	19 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,LT	60 	59 	50 	43 	35 	33 	27 	25 	8 	10 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,LU	45 	44 b	30 	41 	30 	22 	1 	9 	13 	11 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,LV	47 	44 	31 	29 b	22 	23 	18 	9 	19 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,ME	52 	47 	42 	: 	: 	: 	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,MK	73 	74 	53 	40 	26 	15 	10 	8 	: 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,MT	57 	57 	62 	64 	61 	54 	28 	17 	8 	7 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,NL	58 	56 	57 	47 	38 	: u	35 	28 	12 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,NO	68 	63 	56 	65 	67 	60 	72 	54 	38 	39 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,PL	63 	52 	53 	46 	38 	31 	28 	27 	16 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,PT	60 	51 	64 	59 	50 	33 	51 	43 	44 	35 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,RO	65 	59 	49 	47 	32 	32 b	15 	7 	5 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,RS	74 	68 	53 	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,SE	68 b	76 	55 	62 b	49 	43 	: u	70 	40 	26 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,SI	98 	98 	93 	81 	84 	56 	50 	45 	32 	32 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,SK	57 	57 	44 	48 	42 	34 	26 	22 	16 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,TR	: 	: 	: 	: 	: 	: 	39 	29 	: 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,UK	72 	51 	24 	34 	22 	24 	18 	15 	7 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3,XK	48 	27 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,AL	: 	87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,AT	80 	68 	75 	73 	69 	65 	57 	54 	42 	27 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,BA	32 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,BE	42 	43 u	44 	30 	24 	24 	23 	16 	8 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,BG	91 	85 	71 	53 	35 	29 	11 	6 	2 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,CH	90 	: 	86 b	: 	: 	79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,CY	1 	1 	2 	2 	2 	0 	14 	16 	9 	1 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,CZ	34 	30 	24 	24 	15 	13 	6 	7 	3 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,DE	80 	76 	61 	63 	62 	62 	56 	48 	23 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,DK	55 b	65 	36 	38 	30 	34 	16 	16 	6 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EA	59 	59 	55 	55 	52 	49 	40 	32 	19 	16 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EE	94 	88 	92 	85 	66 	71 b	27 	21 	7 	8 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EL	37 	29 	15 	15 	12 	14 	6 	5 	3 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,ES	81 	85 	79 	83 	78 	75 	52 	32 	14 	10 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EU15	: 	59 	52 	52 	49 	45 	36 	30 	18 	16 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EU27_2007	: 	58 	51 	50 	45 	41 	32 	27 	16 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EU27_2020	61 	59 	54 	52 	47 	42 	34 	28 	17 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,EU28	63 	59 	51 	50 	45 	41 	32 	26 	16 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,FI	97 	98 	99 	99 	98 	98 	91 	75 	64 	48 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,FR	45 	46 	44 	44 	44 	31 	27 	25 	12 	17 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,HR	68 	67 	59 	54 	45 	38 	31 	13 	5 	7 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,HU	81 	83 	87 	64 	51 	42 	34 	27 	13 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,IE	45 	58 	48 	43 	38 	37 	11 	10 	10 	16 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,IS	48 	45 	45 	: 	: 	37 	90 	67 	55 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,IT	44 	45 	43 	46 	46 	43 	31 	23 	21 	16 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,LT	67 	60 	54 	43 	34 	37 	31 	25 	8 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,LU	50 	42 b	30 	45 	31 	25 	3 	8 	10 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,LV	58 	53 	39 	36 b	30 	34 	26 	20 	18 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,ME	56 	47 	51 	: 	: 	: 	: 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,MK	74 	73 	49 	44 	29 	14 	11 	4 	: 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,MT	65 	55 	67 	72 	70 	61 	31 	19 	8 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,NL	53 	54 	54 	48 	46 	: u	36 	27 	12 	1 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,NO	79 	53 	60 	63 	73 	66 	75 	57 	38 	40 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,PL	63 	53 	49 	45 	38 	33 	28 	24 	16 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,PT	62 	60 	65 	63 	55 	38 	52 	52 	54 	35 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,RO	72 	59 	43 	48 	29 	24 b	12 	8 	6 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,RS	73 	73 	53 	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,SE	65 b	80 	71 	64 b	37 	45 	: u	73 	39 	34 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,SI	99 	100 	91 	80 	85 	55 	51 	40 	39 	30 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,SK	52 	57 	46 	43 	39 	35 	32 	23 	20 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,TR	: 	: 	: 	: 	: 	: 	40 	29 	: 	7 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,UK	74 	52 	29 	35 	30 	26 	17 	13 	9 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,A_GE3_DCH,XK	41 	27 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,AT	76 	70 	71 	70 	64 	60 	66 	54 	48 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,BE	33 	36 u	24 	19 	11 	12 	9 	12 	7 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,BG	79 	69 	52 	42 	26 	14 	9 	4 	2 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,CY	6 	3 	6 	6 	5 	1 	6 	12 	7 	0 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,CZ	28 	27 	22 b	25 	9 	9 	7 	6 	5 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,DE	65 	62 	46 	45 	42 	36 	33 	25 	16 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,DK	49 b	58 	33 	34 	: u	27 	18 	16 	14 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EA	59 	55 	47 	45 	41 	35 	32 	26 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EE	82 	69 	68 	60 	44 	49 b	31 	23 	8 	5 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EL	36 	29 	15 	18 	15 	15 	8 	7 	2 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,ES	83 	81 	75 	78 	73 	59 	42 	28 	12 	10 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EU15	: 	57 	47 	46 	42 	36 	32 	27 	19 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EU27_2007	: 	55 	46 	45 	40 	34 	30 	26 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EU27_2020	58 	56 	46 	45 	40 	34 	30 	26 	18 	14 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,EU28	58 	56 	46 	45 	40 	34 	30 	26 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,FI	89 	89 	90 	88 	88 	84 	73 	65 	52 	37 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,FR	43 	38 	33 	33 	28 	24 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,HR	60 	67 	55 	43 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,HU	71 	71 	65 	45 	41 	32 	27 	18 	13 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,IE	: 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,IS	: 	: 	38 	: 	: 	26 	54 	47 	35 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,IT	: 	: 	: 	: 	: 	: 	44 	30 	29 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,LT	54 	49 	41 	35 	32 	25 	25 	24 	5 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,LU	43 	43 b	27 	36 	33 	16 	2 	3 	5 	8 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,LV	41 	36 	30 b	28 b	16 	21 	21 	9 	20 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,MK	67 	64 	39 	31 	10 	9 	4 	6 	: 	0 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,MT	: 	: 	: 	: 	: 	33 	13 	12 	3 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,NL	46 	42 	44 	38 	35 	: u	24 	18 	6 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,NO	67 	59 	55 	65 	66 	54 	51 	42 	25 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,PL	58 	50 	40 	39 	33 	29 	29 	22 	15 	15 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,PT	43 	35 	50 	47 	40 	31 	43 	40 	50 	37 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,RO	62 	52 	46 	35 	27 	16 b	10 	7 	5 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,SE	60 b	76 	59 	64 b	: u	45 	: u	54 	47 	30 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,SI	87 	95 	83 	59 	50 	39 	22 	34 	28 	19 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,SK	45 	51 	40 	52 b	29 	24 	25 	18 	14 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q1,XK	42 	19 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,AT	71 	70 	72 	71 	67 	56 	60 	49 	40 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,BE	32 	37 u	29 	23 	17 	16 	14 	9 	6 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,BG	83 	79 	60 	40 	25 	16 	7 	5 	2 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,CY	2 	2 	3 	2 	2 	1 	9 	11 	8 	2 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,CZ	26 	28 	22 b	23 	9 	8 	8 	5 	2 	3 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,DE	73 	70 	50 	50 	44 	44 	37 	29 	17 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,DK	44 b	53 	33 	34 	: u	27 	14 	17 	10 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EA	63 	60 	51 	49 	44 	39 	33 	27 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EE	86 	75 	76 	71 	46 	53 b	30 	24 	8 	6 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EL	35 	24 	13 	14 	12 	11 	9 	7 	2 	4 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,ES	83 	83 	76 	78 	76 	65 	47 	30 	12 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EU15	: 	60 	51 	49 	45 	39 	33 	29 	20 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EU27_2007	: 	58 	50 	47 	42 	37 	30 	27 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EU27_2020	62 	59 	50 	47 	42 	37 	30 	27 	18 	13 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,EU28	62 	59 	50 	47 	42 	37 	30 	27 	18 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,FI	92 	93 	92 	90 	83 	81 	74 	57 	51 	42 	: 	: 	: 	: 	: 	: 	: 
H_BBMOB,PC_HH_IACC,HHI_Q2,FR	42 	40 	36 	36 	33 	19 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
